text,category,priority
Верните деньги за отменённый заказ!,Payment,High
Карта отклоняется при оплате.,Payment,High
Здравствуйте! Не могу оформить возврат средств,Payment,High
Помогите! Списание произошло дважды,Payment,High
Не могу оформить возврат средств Уже жду ответа.,Payment,High
"Добрый день, карта отклоняется при оплате",Payment,High
Не могу оформить возврат средств!,Payment,High
Верните деньги за отменённый заказ.,Payment,High
Здравствуйте! Списание произошло дважды,Payment,High
Помогите! Верните деньги за отменённый заказ,Payment,High
Карта отклоняется при оплате Уже жду ответа.,Payment,High
"Добрый день, не могу оформить возврат средств, катастрофа!",Payment,High
Верните деньги за отменённый заказ!,Payment,High
У меня не проходит оплата картой.,Payment,High
"Здравствуйте! У меня не проходит оплата картой, ужас!",Payment,High
Помогите! Не могу оформить возврат средств,Payment,High
Не могу оформить возврат средств Уже жду ответа.,Payment,High
"Добрый день, списание произошло дважды",Payment,High
Не могу оформить возврат средств!,Payment,High
Списание произошло дважды.,Payment,High
"Здравствуйте! Не могу оформить возврат средств, катастрофа!",Payment,High
Помогите! Не могу оформить возврат средств,Payment,High
"Карта отклоняется при оплате, быстро! Уже жду ответа.",Payment,High
"Добрый день, верните деньги за отменённый заказ",Payment,High
Не могу оформить возврат средств!,Payment,High
Карта отклоняется при оплате.,Payment,High
Здравствуйте! Списание произошло дважды,Payment,High
Помогите! Верните деньги за отменённый заказ,Payment,High
"Верните деньги за отменённый заказ, ужас! Уже жду ответа.",Payment,High
"Добрый день, не могу оформить возврат средств, срочно!",Payment,High
Верните деньги за отменённый заказ!,Payment,High
Не могу оформить возврат средств.,Payment,High
"Здравствуйте! Списание произошло дважды, немедленно!",Payment,High
Помогите! У меня не проходит оплата картой,Payment,High
У меня не проходит оплата картой!,Payment,Medium
Карта отклоняется при оплате.,Payment,Medium
Здравствуйте! Списание произошло дважды,Payment,Medium
Помогите! Верните деньги за отменённый заказ,Payment,Medium
У меня не проходит оплата картой Уже жду ответа.,Payment,Medium
"Добрый день, не могу оформить возврат средств",Payment,Medium
Списание произошло дважды!,Payment,Medium
Не могу оформить возврат средств.,Payment,Medium
"Здравствуйте! Списание произошло дважды, не понимаю!",Payment,Medium
Помогите! Не могу оформить возврат средств,Payment,Medium
Списание произошло дважды Уже жду ответа.,Payment,Medium
"Добрый день, списание произошло дважды",Payment,Medium
Верните деньги за отменённый заказ!,Payment,Medium
У меня не проходит оплата картой.,Payment,Medium
"Здравствуйте! Не могу оформить возврат средств, вопрос!",Payment,Medium
Помогите! Не могу оформить возврат средств,Payment,Medium
Верните деньги за отменённый заказ Уже жду ответа.,Payment,Medium
"Добрый день, у меня не проходит оплата картой, подскажите!",Payment,Medium
У меня не проходит оплата картой!,Payment,Medium
"У меня не проходит оплата картой, не понимаю!.",Payment,Medium
Здравствуйте! Верните деньги за отменённый заказ,Payment,Medium
Помогите! Верните деньги за отменённый заказ,Payment,Medium
Верните деньги за отменённый заказ Уже жду ответа.,Payment,Medium
"Добрый день, у меня не проходит оплата картой",Payment,Medium
Карта отклоняется при оплате!,Payment,Medium
Списание произошло дважды.,Payment,Medium
"Здравствуйте! У меня не проходит оплата картой, не понимаю!",Payment,Medium
"Помогите! Списание произошло дважды, помогите!",Payment,Medium
"Списание произошло дважды, вопрос! Уже жду ответа.",Payment,Medium
"Добрый день, списание произошло дважды, помогите!",Payment,Medium
Не могу оформить возврат средств!,Payment,Medium
Верните деньги за отменённый заказ.,Payment,Medium
Здравствуйте! Не могу оформить возврат средств,Payment,Medium
Помогите! Карта отклоняется при оплате,Payment,Medium
"У меня не проходит оплата картой, всё хорошо!!",Payment,Low
Не могу оформить возврат средств.,Payment,Low
Здравствуйте! Верните деньги за отменённый заказ,Payment,Low
Помогите! Не могу оформить возврат средств,Payment,Low
"У меня не проходит оплата картой, спасибо! Уже жду ответа.",Payment,Low
"Добрый день, верните деньги за отменённый заказ",Payment,Low
Карта отклоняется при оплате!,Payment,Low
У меня не проходит оплата картой.,Payment,Low
"Здравствуйте! Верните деньги за отменённый заказ, интересно!",Payment,Low
"Помогите! У меня не проходит оплата картой, интересно!",Payment,Low
Списание произошло дважды Уже жду ответа.,Payment,Low
"Добрый день, у меня не проходит оплата картой",Payment,Low
Списание произошло дважды!,Payment,Low
"Верните деньги за отменённый заказ, интересно!.",Payment,Low
Здравствуйте! Верните деньги за отменённый заказ,Payment,Low
Помогите! Списание произошло дважды,Payment,Low
Не могу оформить возврат средств Уже жду ответа.,Payment,Low
"Добрый день, карта отклоняется при оплате",Payment,Low
Карта отклоняется при оплате!,Payment,Low
Не могу оформить возврат средств.,Payment,Low
Здравствуйте! Списание произошло дважды,Payment,Low
Помогите! Карта отклоняется при оплате,Payment,Low
"Верните деньги за отменённый заказ, всё хорошо! Уже жду ответа.",Payment,Low
"Добрый день, верните деньги за отменённый заказ",Payment,Low
У меня не проходит оплата картой!,Payment,Low
"Верните деньги за отменённый заказ, интересно!.",Payment,Low
Здравствуйте! Списание произошло дважды,Payment,Low
Помогите! Не могу оформить возврат средств,Payment,Low
"Списание произошло дважды, интересно! Уже жду ответа.",Payment,Low
"Добрый день, у меня не проходит оплата картой",Payment,Low
Карта отклоняется при оплате!,Payment,Low
"Карта отклоняется при оплате, всё хорошо!.",Payment,Low
Здравствуйте! Верните деньги за отменённый заказ,Payment,Low
Помогите! Не могу оформить возврат средств,Payment,Low
Сервис тормозит очень сильно!,Technical,High
Сайт не открывается.,Technical,High
Здравствуйте! Сайт не открывается,Technical,High
"Помогите! Сервис тормозит очень сильно, катастрофа!",Technical,High
Ошибка 500 на странице Уже жду ответа.,Technical,High
"Добрый день, сайт не открывается, ужас!",Technical,High
Не работает кнопка оформления!,Technical,High
Сервис тормозит очень сильно.,Technical,High
"Здравствуйте! Ошибка 500 на странице, немедленно!",Technical,High
Помогите! Сервис тормозит очень сильно,Technical,High
Не работает кнопка оформления Уже жду ответа.,Technical,High
"Добрый день, приложение вылетает при запуске",Technical,High
Ошибка 500 на странице!,Technical,High
Приложение вылетает при запуске.,Technical,High
Здравствуйте! Сайт не открывается,Technical,High
Помогите! Не работает кнопка оформления,Technical,High
Ошибка 500 на странице Уже жду ответа.,Technical,High
"Добрый день, приложение вылетает при запуске, ужас!",Technical,High
Приложение вылетает при запуске!,Technical,High
Ошибка 500 на странице.,Technical,High
Здравствуйте! Сайт не открывается,Technical,High
Помогите! Сайт не открывается,Technical,High
Сайт не открывается Уже жду ответа.,Technical,High
"Добрый день, сервис тормозит очень сильно",Technical,High
Не работает кнопка оформления!,Technical,High
Не работает кнопка оформления.,Technical,High
"Здравствуйте! Ошибка 500 на странице, ужас!",Technical,High
Помогите! Ошибка 500 на странице,Technical,High
Не работает кнопка оформления Уже жду ответа.,Technical,High
"Добрый день, ошибка 500 на странице",Technical,High
"Ошибка 500 на странице, немедленно!!",Technical,High
Не работает кнопка оформления.,Technical,High
Здравствуйте! Сайт не открывается,Technical,High
Помогите! Не работает кнопка оформления,Technical,High
Приложение вылетает при запуске!,Technical,Medium
"Не работает кнопка оформления, помогите!.",Technical,Medium
"Здравствуйте! Сайт не открывается, не понимаю!",Technical,Medium
"Помогите! Не работает кнопка оформления, помогите!",Technical,Medium
Не работает кнопка оформления Уже жду ответа.,Technical,Medium
"Добрый день, сайт не открывается, помогите!",Technical,Medium
Сервис тормозит очень сильно!,Technical,Medium
Сервис тормозит очень сильно.,Technical,Medium
Здравствуйте! Приложение вылетает при запуске,Technical,Medium
Помогите! Сервис тормозит очень сильно,Technical,Medium
Ошибка 500 на странице Уже жду ответа.,Technical,Medium
"Добрый день, сайт не открывается",Technical,Medium
Сайт не открывается!,Technical,Medium
Не работает кнопка оформления.,Technical,Medium
Здравствуйте! Сервис тормозит очень сильно,Technical,Medium
Помогите! Сайт не открывается,Technical,Medium
Ошибка 500 на странице Уже жду ответа.,Technical,Medium
"Добрый день, сервис тормозит очень сильно",Technical,Medium
Сайт не открывается!,Technical,Medium
Сайт не открывается.,Technical,Medium
Здравствуйте! Приложение вылетает при запуске,Technical,Medium
Помогите! Сервис тормозит очень сильно,Technical,Medium
Приложение вылетает при запуске Уже жду ответа.,Technical,Medium
"Добрый день, сервис тормозит очень сильно",Technical,Medium
Приложение вылетает при запуске!,Technical,Medium
Не работает кнопка оформления.,Technical,Medium
Здравствуйте! Сайт не открывается,Technical,Medium
Помогите! Приложение вылетает при запуске,Technical,Medium
